,Month,Date,PlaceName,HomeName,AwayName,HomeScore,AwayScore,IsHomeWin
0,5,05.05(화),잠실,LG,두산,8,2,2
1,5,05.05(화),문학,SK,한화,0,3,0
2,5,05.05(화),대구,삼성,NC,0,4,0
3,5,05.05(화),수원,KT,롯데,2,7,0
4,5,05.05(화),광주,KIA,키움,2,11,0
5,5,05.06(수),잠실,LG,두산,2,5,0
6,5,05.06(수),문학,SK,한화,5,2,2
7,5,05.06(수),대구,삼성,NC,3,4,0
8,5,05.06(수),수원,KT,롯데,4,9,0
9,5,05.06(수),광주,KIA,키움,2,3,0
10,5,05.07(목),잠실,LG,두산,3,9,0
11,5,05.07(목),문학,SK,한화,4,8,0
12,5,05.07(목),대구,삼성,NC,2,8,0
13,5,05.07(목),수원,KT,롯데,3,7,0
14,5,05.07(목),광주,KIA,키움,8,5,2
15,5,05.08(금),잠실,두산,KT,3,12,0
16,5,05.08(금),사직,롯데,SK,9,8,2
17,5,05.08(금),대구,삼성,KIA,5,0,2
18,5,05.08(금),창원,NC,LG,13,5,2
19,5,05.08(금),고척,키움,한화,5,3,2
20,5,05.09(토),대구,삼성,KIA,14,2,2
21,5,05.09(토),고척,키움,한화,5,3,2
22,5,05.10(일),잠실,두산,KT,13,12,2
23,5,05.10(일),사직,롯데,SK,4,0,2
24,5,05.10(일),대구,삼성,KIA,3,12,0
25,5,05.10(일),창원,NC,LG,8,10,0
26,5,05.10(일),고척,키움,한화,6,3,2
27,5,05.12(화),잠실,LG,SK,9,5,2
28,5,05.12(화),사직,롯데,두산,6,11,0
29,5,05.12(화),창원,NC,KT,7,6,2
30,5,05.12(화),고척,키움,삼성,3,2,2
31,5,05.12(화),대전,한화,KIA,1,2,0
32,5,05.13(수),잠실,LG,SK,14,2,2
33,5,05.13(수),사직,롯데,두산,10,9,2
34,5,05.13(수),창원,NC,KT,5,4,2
35,5,05.13(수),고척,키움,삼성,0,5,0
36,5,05.13(수),대전,한화,KIA,3,4,0
37,5,05.14(목),잠실,LG,SK,3,2,2
38,5,05.14(목),사직,롯데,두산,4,7,0
39,5,05.14(목),창원,NC,KT,1,0,2
40,5,05.14(목),고척,키움,삼성,5,8,0
41,5,05.14(목),대전,한화,KIA,4,1,2
42,5,05.15(금),문학,SK,NC,2,6,0
43,5,05.15(금),수원,KT,삼성,14,6,2
44,5,05.15(금),광주,KIA,두산,4,13,0
45,5,05.15(금),대전,한화,롯데,2,1,2
46,5,05.16(토),대전,한화,롯데,1,5,0
47,5,05.16(토),잠실,LG,키움,3,1,2
48,5,05.16(토),문학,SK,NC,1,2,0
49,5,05.16(토),수원,KT,삼성,10,4,2
50,5,05.16(토),광주,KIA,두산,13,4,2
51,5,05.16(토),잠실,LG,키움,5,3,2
52,5,05.17(일),잠실,LG,키움,4,9,0
53,5,05.17(일),문학,SK,NC,5,11,0
54,5,05.17(일),수원,KT,삼성,9,2,2
55,5,05.17(일),광주,KIA,두산,4,6,0
56,5,05.17(일),대전,한화,롯데,5,4,2
57,5,05.19(화),잠실,두산,NC,4,5,0
58,5,05.19(화),대구,삼성,LG,6,10,0
59,5,05.19(화),수원,KT,한화,13,11,2
60,5,05.19(화),광주,KIA,롯데,9,2,2
61,5,05.19(화),고척,키움,SK,11,6,2
62,5,05.20(수),잠실,두산,NC,2,1,2
63,5,05.20(수),대구,삼성,LG,3,1,2
64,5,05.20(수),수원,KT,한화,8,1,2
65,5,05.20(수),광주,KIA,롯데,6,0,2
66,5,05.20(수),고척,키움,SK,3,5,0
67,5,05.21(목),잠실,두산,NC,6,12,0
68,5,05.21(목),대구,삼성,LG,0,2,0
69,5,05.21(목),수원,KT,한화,4,9,0
70,5,05.21(목),광주,KIA,롯데,6,1,2
71,5,05.21(목),고척,키움,SK,9,8,2
72,5,05.22(금),잠실,LG,KT,6,5,2
73,5,05.22(금),문학,SK,KIA,1,2,0
74,5,05.22(금),사직,롯데,키움,9,7,2
75,5,05.22(금),대구,삼성,두산,7,12,0
76,5,05.22(금),창원,NC,한화,3,5,0
77,5,05.23(토),잠실,LG,KT,2,6,0
78,5,05.23(토),문학,SK,KIA,3,8,0
79,5,05.23(토),사직,롯데,키움,4,12,0
