,순위,선수명,팀명,타율,경기수,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,선수ID,생년월일,신장,체중,입단계약금,연봉,지명순위,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,실책,도루성공률,멀티히트,출루율add장타율,득점권타율,대타타율,사진URL
0,1,조수행,두산,1.000,4,1,1,1,1,0,0,0,1,0,0,0,66209,1993년 08월 30일,178cm,73kg,14000만원,4500만원,16 두산 2차 1라운드 5순위,0,0,0,0,0,1.000,1.000,0,-,0,2.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66209.jpg
1,2,페르난데스,두산,0.364,98,456,401,74,146,23,0,16,217,78,0,7,69209,1988년 04월 27일,178cm,83kg,50000달러,400000달러,19 두산 자유선발,39,1,9,31,17,0.541,0.425,1,0.0,46,0.966,0.342,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69209.jpg
2,3,허경민,두산,0.354,72,298,271,40,96,12,1,6,128,36,1,4,79240,1990년 08월 26일,176cm,69kg,13000만원,48000만원,09 두산 2차 1라운드 7순위,19,1,3,18,7,0.472,0.397,8,71.4,32,0.869,0.439,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79240.jpg
3,4,오재일,두산,0.335,81,345,313,44,105,21,0,13,165,60,0,1,75334,1986년 10월 29일,187cm,95kg,8000만원,47000만원,05 현대 2차 3라운드 24순위,31,0,0,61,6,0.527,0.394,2,-,30,0.921,0.383,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/75334.jpg
4,5,신성현,두산,0.333,6,4,3,1,1,1,0,0,2,0,0,0,64086,1990년 10월 19일,183cm,92kg,,4800만원,15 한화 육성선수,1,0,0,2,0,0.667,0.500,0,-,0,1.167,0.000,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64086.jpg
5,6,정수빈,두산,0.311,95,372,334,56,104,11,6,3,136,42,6,1,79231,1990년 10월 07일,175cm,70kg,6000만원,34000만원,09 두산 2차 5라운드 39순위,29,2,2,38,8,0.407,0.369,1,62.5,31,0.776,0.297,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79231.jpg
6,7,박건우,두산,0.308,91,396,351,78,108,30,0,12,174,50,0,5,79215,1990년 09월 08일,184cm,80kg,10000만원,45000만원,09 두산 2차 2라운드 10순위,30,2,10,45,5,0.496,0.374,2,75.0,31,0.870,0.265,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79215.jpg
7,8,김재호,두산,0.298,77,306,265,36,79,11,1,2,98,27,1,5,74206,1985년 03월 21일,181cm,75kg,20000만원,65000만원,04 두산 1차,33,1,2,31,12,0.370,0.374,9,66.7,20,0.744,0.284,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/74206.jpg
8,9,최주환,두산,0.295,96,394,353,46,104,21,2,11,162,61,1,5,76267,1988년 02월 28일,178cm,73kg,6000만원,27000만원,06 두산 2차 6라운드 46순위,31,3,4,46,7,0.459,0.354,8,50.0,26,0.813,0.317,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/76267.jpg
9,10,이유찬,두산,0.281,67,79,64,22,18,1,1,0,21,5,2,1,67207,1998년 08월 05일,175cm,68kg,6000만원,3200만원,17 두산 2차 5라운드 50순위,11,0,1,18,2,0.328,0.390,5,91.7,2,0.718,0.273,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67207.jpg
10,11,김재환,두산,0.280,94,413,347,57,97,15,0,19,169,78,0,4,78224,1988년 09월 22일,183cm,90kg,15000만원,65000만원,08 두산 2차 1라운드 4순위,62,2,0,105,9,0.487,0.385,0,100.0,25,0.872,0.296,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/78224.jpg
