,순위,선수명,팀명,타율,경기수,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,선수ID
0,1,조수행,두산,1.000,4,1,1,1,1,0,0,0,1,0,0,0,66209
1,2,페르난데스,두산,0.366,97,451,396,73,145,23,0,16,216,77,0,7,69209
2,3,허경민,두산,0.352,71,294,267,38,94,11,1,5,122,35,1,4,79240
3,4,신성현,두산,0.333,6,4,3,1,1,1,0,0,2,0,0,0,64086
4,4,오재일,두산,0.333,80,340,309,41,103,21,0,11,157,57,0,1,75334
5,6,정수빈,두산,0.312,94,368,330,56,103,11,5,3,133,41,6,1,79231
6,7,박건우,두산,0.306,90,391,346,76,106,28,0,12,170,49,0,5,79215
7,8,최주환,두산,0.299,95,389,348,46,104,21,2,11,162,61,1,5,76267
8,9,김재호,두산,0.298,76,303,262,35,78,11,1,2,97,27,1,5,74206
9,10,이유찬,두산,0.281,66,79,64,22,18,1,1,0,21,5,2,1,67207
10,11,김재환,두산,0.280,93,408,343,57,96,15,0,19,168,77,0,4,78224
11,12,최용제,두산,0.270,18,38,37,6,10,0,1,0,12,7,1,0,64213
12,13,박세혁,두산,0.265,78,259,226,34,60,9,1,4,83,34,1,4,62244
13,14,국해성,두산,0.253,40,87,79,10,20,1,0,3,30,17,0,1,79290
14,15,오재원,두산,0.237,65,146,131,24,31,5,1,5,53,26,1,2,77248
15,16,권민석,두산,0.233,37,50,43,3,10,0,0,0,10,2,2,2,68204
16,17,장승현,두산,0.222,9,9,9,1,2,0,0,0,2,0,0,0,63202
17,18,안권수,두산,0.214,46,30,28,8,6,0,0,0,6,3,0,1,50202
18,19,양찬열,두산,0.200,8,19,15,1,3,0,0,0,3,2,0,0,50293
19,20,김인태,두산,0.194,52,82,62,12,12,5,0,1,20,8,2,1,63257
20,21,백동훈,두산,0.188,25,19,16,5,3,1,0,0,4,0,0,0,63559
21,21,서예일,두산,0.188,19,19,16,2,3,1,0,0,4,1,0,1,66203
22,23,정상호,두산,0.165,40,91,85,3,14,6,0,0,20,8,3,1,71842
23,24,김강률,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,77263
