,name,team,salary,position
0,문상준,KT 위즈,2700만원,내야수(우투우타)
1,여도건,KT 위즈,2700만원,투수(좌투좌타)
2,최지효,KT 위즈,2700만원,내야수(우투우타)
3,고영찬,KT 위즈,2700만원,투수(우투우타)
4,최태성,KT 위즈,2700만원,외야수(우투좌타)
5,이승주,KT 위즈,2700만원,외야수(우투우타)
6,김범,KT 위즈,2700만원,외야수(우투좌타)
7,윤종휘,KT 위즈,2700만원,내야수(우투우타)
8,박성현,KT 위즈,2700만원,내야수(우투우타)
9,소형준,KT 위즈,2700만원,투수(우투우타)
10,이강준,KT 위즈,2700만원,투수(우투우타)
11,데스파이네,KT 위즈,450000달러,투수(우투우타)
12,천성호,KT 위즈,2700만원,내야수(우투좌타)
13,강현우,KT 위즈,2700만원,포수(우투우타)
14,윤준혁,KT 위즈,2700만원,내야수(우투우타)
15,김성균,KT 위즈,2700만원,내야수(좌투좌타)
16,서경찬,KT 위즈,2700만원,투수(우투우타)
17,한지용,KT 위즈,2700만원,포수(우투좌타)
18,강민,LG 트윈스,2700만원,투수(우투우타)
19,유영찬,LG 트윈스,2700만원,투수(우투우타)
20,하영진,LG 트윈스,2700만원,투수(우투우타)
21,함창건,LG 트윈스,2700만원,외야수(좌투좌타)
22,성재헌,LG 트윈스,2700만원,투수(좌투좌타)
23,이정우,LG 트윈스,2700만원,외야수(우투우타)
24,박찬호,LG 트윈스,2700만원,투수(우투우타)
25,조용근,LG 트윈스,2700만원,투수(우투우타)
26,김태우,LG 트윈스,2700만원,내야수(우투우타)
27,김도환,LG 트윈스,2700만원,외야수(좌투좌타)
28,이민호,LG 트윈스,2700만원,투수(우투우타)
29,손호영,LG 트윈스,2700만원,내야수(우투우타)
30,김윤식,LG 트윈스,2700만원,투수(좌투좌타)
31,라모스,LG 트윈스,300000달러,내야수(우투좌타)
32,이주형,LG 트윈스,2700만원,내야수(우투좌타)
33,안권수,두산 베어스,2700만원,외야수(우투좌타)
34,권휘,두산 베어스,2700만원,투수(우투우타)
35,박지훈,두산 베어스,2700만원,내야수(우투우타)
36,박웅,두산 베어스,2700만원,투수(우투우타)
37,최종인,두산 베어스,2700만원,투수(우투우타)
38,지원근,두산 베어스,2700만원,포수(우투우타)
39,오명진,두산 베어스,2700만원,내야수(우투좌타)
40,구장익,두산 베어스,2700만원,내야수(우투우타)
41,제환유,두산 베어스,2700만원,투수(우투좌타)
42,김도경,두산 베어스,2700만원,외야수(우투우타)
43,플렉센,두산 베어스,600000달러,투수(우투우타)
44,장규빈,두산 베어스,2700만원,포수(우투우타)
45,이주엽,두산 베어스,2700만원,투수(우투우타)
46,양찬열,두산 베어스,2700만원,외야수(우투좌타)
47,김성민,두산 베어스,2700만원,투수(좌투좌타)
48,조제영,두산 베어스,2700만원,투수(우투우타)
49,최세창,두산 베어스,2700만원,투수(우투우타)
50,모터,키움 히어로즈,200000달러,내야수(우투우타)
51,김병휘,키움 히어로즈,2700만원,내야수(우투우타)
52,신준우,고양 히어로즈,2700만원,내야수(우투우타)
53,러셀,키움 히어로즈,539996달러,내야수(우투우타)
54,이종민,키움 히어로즈,2700만원,투수(좌투좌타)
55,박주홍,키움 히어로즈,2700만원,외야수(좌투좌타)
56,김동혁,키움 히어로즈,2700만원,투수(우투우타)
57,문찬종,키움 히어로즈,2700만원,내야수(우투양타)
58,박동혁,고양 히어로즈,2700만원,외야수(우투우타)
59,김동욱,고양 히어로즈,2700만원,투수(우투우타)
60,정재원,고양 히어로즈,2700만원,외야수(우투우타)
61,김동은,고양 히어로즈,2700만원,투수(우투우타)
62,박관진,키움 히어로즈,2700만원,투수(우투우타)
63,뷰캐넌,삼성 라이온즈,600000달러,투수(우투우타)
64,박주혁,삼성 라이온즈,2700만원,투수(우투우타)
65,조경원,삼성 라이온즈,2700만원,투수(좌투좌타)
66,한연욱,삼성 라이온즈,2700만원,투수(우투우타)
67,정진수,삼성 라이온즈,2700만원,포수(우투좌타)
68,김경민,삼성 라이온즈,2700만원,내야수(우투우타)
69,신동수,삼성 라이온즈,2700만원,내야수(우투우타)
70,홍원표,삼성 라이온즈,2700만원,투수(우투우타)
71,황동재,삼성 라이온즈,2700만원,투수(우투우타)
72,허윤동,삼성 라이온즈,2700만원,투수(좌투좌타)
73,김지찬,삼성 라이온즈,2700만원,내야수(우투좌타)
74,이승민,삼성 라이온즈,2700만원,투수(좌투좌타)
